RL2022-2023,Jugador2022-2023,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,90 s2022-2023,Toques2022-2023,Def. pen.2022-2023,3.º def.2022-2023,3.º cent.2022-2023,3.º ataq.2022-2023,Ataq. pen.2022-2023,Balón vivo2022-2023,Att2022-2023,Succ2022-2023,Exitosa%2022-2023,Tkld2022-2023,Tkld%2022-2023,Transportes2022-2023,Dist. tot.2022-2023,Dist. prg.2022-2023,PrgC2022-2023,1/32022-2023,TAP2022-2023,Errores de control2022-2023,Des2022-2023,Rec2022-2023,PrgR2022-2023
1,Brenden Aaronson,us USA,"CC,DL",Leeds United,eng Premier League,21,2000,26.4,1143.0,12.0,116.0,495.0,554.0,72.0,1143.0,100.0,34.0,34.0,48.0,48.0,686.0,3646.0,1532.0,43.0,34.0,13.0,71.0,82.0,767.0,151.0
2,Paxten Aaronson,us USA,"CC,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,99.0,2.0,6.0,41.0,53.0,17.0,99.0,6.0,3.0,50.0,3.0,50.0,55.0,314.0,143.0,8.0,2.0,2.0,5.0,2.0,65.0,15.0
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,39.0,8.0,26.0,13.0,0.0,0.0,39.0,1.0,1.0,100.0,0.0,0.0,18.0,48.0,19.0,0.0,0.0,0.0,1.0,1.0,21.0,0.0
4,George Abbott,eng ENG,CC,Tottenham,eng Premier League,16,2005,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37.0,2459.0,241.0,1088.0,1275.0,123.0,39.0,2459.0,37.0,21.0,56.8,14.0,37.8,1723.0,10871.0,6123.0,40.0,21.0,3.0,27.0,23.0,1499.0,10.0
6,Himad Abdelli,dz ALG,"CC,DL",Angers,fr Ligue 1,22,1999,23.7,1516.0,26.0,237.0,914.0,409.0,23.0,1516.0,76.0,43.0,56.6,28.0,36.8,1184.0,6861.0,3294.0,58.0,60.0,7.0,36.0,20.0,1066.0,111.0
7,Salis Abdul Samed,gh GHA,CC,Lens,fr Ligue 1,22,2000,32.2,2224.0,66.0,404.0,1502.0,340.0,16.0,2224.0,49.0,29.0,59.2,13.0,26.5,1849.0,9645.0,3457.0,33.0,56.0,3.0,39.0,32.0,1705.0,44.0
8,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,29,1993,26.0,1779.0,76.0,581.0,1069.0,151.0,4.0,1779.0,41.0,23.0,56.1,14.0,34.1,1384.0,6069.0,2597.0,13.0,29.0,0.0,29.0,19.0,1257.0,14.0
9,Oliver Abildgaard,dk DEN,CC,Hellas Verona,it Serie A,26,1996,6.6,257.0,15.0,82.0,137.0,40.0,13.0,257.0,1.0,1.0,100.0,0.0,0.0,99.0,401.0,156.0,2.0,3.0,0.0,6.0,1.0,116.0,8.0
21,Matthis Abline,fr FRA,"DL,CC",Auxerre,fr Ligue 1,19,2003,10.2,247.0,4.0,12.0,116.0,125.0,56.0,245.0,23.0,12.0,52.2,11.0,47.8,168.0,1092.0,424.0,18.0,6.0,9.0,53.0,18.0,182.0,60.0
12,Abner,br BRA,DF,Betis,es La Liga,22,2000,6.7,425.0,25.0,128.0,189.0,113.0,11.0,425.0,10.0,3.0,30.0,7.0,70.0,204.0,858.0,469.0,8.0,7.0,4.0,10.0,4.0,231.0,25.0
13,Zakaria Aboukhlal,ma MAR,"DL,CC",Toulouse,fr Ligue 1,22,2000,27.5,1163.0,32.0,156.0,456.0,571.0,151.0,1163.0,109.0,42.0,38.5,57.0,52.3,901.0,6003.0,2662.0,100.0,48.0,44.0,83.0,36.0,843.0,276.0
14,Tammy Abraham,eng ENG,DL,Roma,it Serie A,24,1997,24.3,786.0,19.0,50.0,391.0,355.0,125.0,786.0,68.0,22.0,32.4,37.0,54.4,421.0,2154.0,856.0,35.0,20.0,16.0,62.0,31.0,621.0,141.0
15,Christian Acella,it ITA,CC,Cremonese,it Serie A,20,2002,0.2,11.0,0.0,1.0,9.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,7.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0
16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,26.9,1890.0,226.0,858.0,880.0,167.0,27.0,1890.0,12.0,7.0,58.3,4.0,33.3,1041.0,5108.0,2867.0,39.0,33.0,2.0,13.0,7.0,1252.0,32.0
17,Álvaro Aceves,es ESP,PO,Valladolid,es La Liga,19,2003,0.1,8.0,6.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,42.0,34.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
18,Mohamed Achi,fr FRA,DL,Nantes,fr Ligue 1,20,2002,0.4,25.0,0.0,4.0,11.0,10.0,0.0,25.0,1.0,0.0,0.0,1.0,100.0,21.0,134.0,75.0,2.0,2.0,0.0,0.0,1.0,19.0,1.0
19,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,21.2,1523.0,69.0,406.0,670.0,467.0,26.0,1523.0,54.0,26.0,48.1,23.0,42.6,823.0,4070.0,2178.0,49.0,43.0,5.0,29.0,20.0,903.0,94.0
20,Che Adams,sct SCO,DL,Southampton,eng Premier League,26,1996,22.1,717.0,29.0,66.0,286.0,377.0,103.0,717.0,33.0,16.0,48.5,13.0,39.4,405.0,1613.0,469.0,17.0,11.0,9.0,66.0,28.0,558.0,115.0
21,Tyler Adams,us USA,CC,Leeds United,eng Premier League,23,1999,24.0,1628.0,44.0,376.0,1010.0,254.0,5.0,1628.0,22.0,7.0,31.8,12.0,54.5,818.0,3342.0,1555.0,19.0,21.0,0.0,28.0,18.0,919.0,20.0
22,Sargis Adamyan,am ARM,"DL,CC",Köln,de Bundesliga,29,1993,7.2,310.0,6.0,36.0,134.0,147.0,48.0,310.0,27.0,6.0,22.2,16.0,59.3,166.0,924.0,352.0,12.0,8.0,5.0,28.0,16.0,191.0,58.0
23,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,23.2,1544.0,231.0,776.0,732.0,46.0,19.0,1544.0,7.0,5.0,71.4,2.0,28.6,834.0,4470.0,2733.0,16.0,12.0,1.0,4.0,4.0,975.0,3.0
24,Martin Adeline,fr FRA,"CC,DL",Reims,fr Ligue 1,18,2003,1.2,59.0,4.0,22.0,22.0,16.0,1.0,59.0,3.0,1.0,33.3,2.0,66.7,31.0,173.0,83.0,1.0,0.0,0.0,4.0,2.0,27.0,1.0
25,Karim Adeyemi,de GER,"DL,CC",Dortmund,de Bundesliga,20,2002,15.4,676.0,11.0,68.0,240.0,384.0,65.0,675.0,94.0,34.0,36.2,48.0,51.1,455.0,3163.0,1489.0,49.0,32.0,21.0,43.0,26.0,478.0,131.0
