RL2022-2023,Jugador2022-2023,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,90 s2022-2023,Int.2022-2023,Balón vivo2022-2023,Balón muerto2022-2023,FK2022-2023,PL2022-2023,Camb.2022-2023,Pcz2022-2023,Lanz.2022-2023,SE2022-2023,Dentro2022-2023,Fuera2022-2023,Rect.2022-2023,Cmp2022-2023,PA2022-2023,Bloqueos2022-2023
1,Brenden Aaronson,us USA,"CC,DL",Leeds United,eng Premier League,21,2000,26.4,797.0,711.0,85.0,26.0,8.0,2.0,72,5.0,38.0,17.0,14.0,1.0,592.0,1.0,27.0
2,Paxten Aaronson,us USA,"CC,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,71.0,68.0,3.0,0.0,0.0,0.0,7,2.0,1.0,0.0,1.0,0.0,51.0,0.0,1.0
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,29.0,22.0,7.0,3.0,0.0,1.0,0,4.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0
4,George Abbott,eng ENG,CC,Tottenham,eng Premier League,16,2005,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37.0,2031.0,1882.0,142.0,116.0,0.0,30.0,5,10.0,0.0,0.0,0.0,0.0,1679.0,7.0,20.0
6,Himad Abdelli,dz ALG,"CC,DL",Angers,fr Ligue 1,22,1999,23.7,1257.0,1193.0,60.0,20.0,8.0,6.0,35,16.0,10.0,3.0,1.0,0.0,1043.0,4.0,22.0
7,Salis Abdul Samed,gh GHA,CC,Lens,fr Ligue 1,22,2000,32.2,1981.0,1927.0,45.0,43.0,5.0,5.0,10,2.0,0.0,0.0,0.0,0.0,1819.0,9.0,15.0
8,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,29,1993,26.0,1483.0,1431.0,49.0,47.0,10.0,8.0,6,1.0,1.0,0.0,0.0,0.0,1308.0,3.0,14.0
9,Oliver Abildgaard,dk DEN,CC,Hellas Verona,it Serie A,26,1996,6.6,195.0,194.0,0.0,0.0,0.0,1.0,5,0.0,0.0,0.0,0.0,0.0,115.0,1.0,2.0
21,Matthis Abline,fr FRA,"DL,CC",Auxerre,fr Ligue 1,19,2003,10.2,120.0,106.0,13.0,0.0,1.0,2.0,8,0.0,0.0,0.0,0.0,0.0,76.0,1.0,4.0
12,Abner,br BRA,DF,Betis,es La Liga,22,2000,6.7,351.0,275.0,75.0,1.0,0.0,2.0,13,74.0,0.0,0.0,0.0,0.0,252.0,1.0,15.0
13,Zakaria Aboukhlal,ma MAR,"DL,CC",Toulouse,fr Ligue 1,22,2000,27.5,777.0,744.0,28.0,1.0,1.0,1.0,29,22.0,1.0,0.0,0.0,0.0,576.0,5.0,46.0
14,Tammy Abraham,eng ENG,DL,Roma,it Serie A,24,1997,24.3,513.0,475.0,35.0,2.0,4.0,3.0,11,1.0,0.0,0.0,0.0,0.0,342.0,3.0,8.0
15,Christian Acella,it ITA,CC,Cremonese,it Serie A,20,2002,0.2,9.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,26.9,1644.0,1546.0,93.0,41.0,1.0,10.0,22,21.0,0.0,0.0,0.0,0.0,1455.0,5.0,4.0
17,Álvaro Aceves,es ESP,PO,Valladolid,es La Liga,19,2003,0.1,8.0,7.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
18,Mohamed Achi,fr FRA,DL,Nantes,fr Ligue 1,20,2002,0.4,21.0,20.0,1.0,0.0,0.0,0.0,1,0.0,1.0,0.0,1.0,0.0,18.0,0.0,0.0
19,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,21.2,1307.0,1048.0,257.0,49.0,3.0,14.0,147,174.0,34.0,7.0,22.0,0.0,970.0,2.0,25.0
20,Che Adams,sct SCO,DL,Southampton,eng Premier League,26,1996,22.1,498.0,490.0,7.0,0.0,6.0,7.0,12,4.0,0.0,0.0,0.0,0.0,330.0,1.0,17.0
21,Tyler Adams,us USA,CC,Leeds United,eng Premier League,23,1999,24.0,1343.0,1271.0,72.0,58.0,1.0,2.0,2,14.0,0.0,0.0,0.0,0.0,1108.0,0.0,24.0
22,Sargis Adamyan,am ARM,"DL,CC",Köln,de Bundesliga,29,1993,7.2,179.0,159.0,19.0,0.0,1.0,1.0,13,6.0,0.0,0.0,0.0,0.0,123.0,1.0,8.0
23,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,23.2,1300.0,1235.0,58.0,47.0,2.0,12.0,2,7.0,0.0,0.0,0.0,0.0,1066.0,7.0,10.0
24,Martin Adeline,fr FRA,"CC,DL",Reims,fr Ligue 1,18,2003,1.2,41.0,38.0,3.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,29.0,0.0,1.0
25,Karim Adeyemi,de GER,"DL,CC",Dortmund,de Bundesliga,20,2002,15.4,457.0,431.0,23.0,3.0,2.0,1.0,25,12.0,8.0,7.0,1.0,0.0,335.0,3.0,21.0
26,Amine Adli,ma MAR,"DL,CC",Leverkusen,de Bundesliga,22,2000,15.9,565.0,535.0,23.0,4.0,3.0,2.0,18,5.0,8.0,2.0,2.0,0.0,427.0,7.0,19.0
27,Yacine Adli,fr FRA,"CC,DL",Milan,it Serie A,22,2000,1.6,76.0,72.0,4.0,1.0,0.0,1.0,6,1.0,2.0,0.0,2.0,0.0,49.0,0.0,5.0
28,Michel Aebischer,ch SUI,"DL,CC",Bologna,it Serie A,25,1997,17.1,674.0,641.0,30.0,10.0,0.0,3.0,21,13.0,4.0,1.0,3.0,0.0,557.0,3.0,16.0
29,Felix Afena-Gyan,gh GHA,"DL,CC",Cremonese,it Serie A,19,2003,9.1,193.0,185.0,8.0,2.0,0.0,1.0,4,5.0,0.0,0.0,0.0,0.0,146.0,0.0,4.0
30,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,26.5,1493.0,1433.0,56.0,50.0,7.0,18.0,2,4.0,0.0,0.0,0.0,0.0,1281.0,4.0,11.0
31,Julen Agirrezabala,es ESP,PO,Athletic Club,es La Liga,21,2000,7.5,241.0,169.0,72.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0
32,Lucien Agoume,fr FRA,CC,Troyes,fr Ligue 1,20,2002,12.2,744.0,720.0,21.0,15.0,3.0,8.0,9,2.0,4.0,3.0,0.0,0.0,619.0,3.0,12.0
33,Felix Agu,de GER,"DF,DL",Werder Bremen,de Bundesliga,22,1999,0.5,25.0,19.0,6.0,0.0,0.0,0.0,1,6.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0
34,Álvaro Aguado,es ESP,CC,Valladolid,es La Liga,26,1996,21.0,1142.0,1040.0,95.0,50.0,3.0,39.0,57,5.0,35.0,3.0,24.0,0.0,930.0,7.0,17.0
35,Kevin Agudelo,co COL,"CC,DL",Spezia,it Serie A,23,1998,23.7,735.0,711.0,17.0,2.0,5.0,1.0,34,7.0,5.0,3.0,2.0,0.0,531.0,7.0,39.0
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26,1996,17.7,763.0,723.0,36.0,29.0,0.0,21.0,0,0.0,0.0,0.0,0.0,0.0,599.0,4.0,5.0
37,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29,1993,13.0,847.0,696.0,149.0,18.0,0.0,3.0,39,131.0,0.0,0.0,0.0,0.0,696.0,2.0,22.0
77,Naouirou Ahamada,fr FRA,"CC,DL",Crystal Palace,eng Premier League,20,2002,16.5,575.0,559.0,14.0,4.0,2.0,1.0,8,5.0,0.0,0.0,0.0,0.0,486.0,2.0,13.0
40,Amar Ahmed,se SWE,DL,Troyes,fr Ligue 1,18,2004,0.2,10.0,10.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
41,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,28,1994,14.4,592.0,576.0,16.0,13.0,3.0,6.0,5,1.0,0.0,0.0,0.0,0.0,447.0,0.0,11.0
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,34.7,1766.0,1710.0,51.0,42.0,0.0,5.0,2,8.0,0.0,0.0,0.0,0.0,1525.0,5.0,13.0
43,Ola Aina,ng NGA,DF,Torino,it Serie A,25,1996,9.7,544.0,432.0,108.0,8.0,0.0,3.0,35,97.0,3.0,0.0,0.0,0.0,402.0,4.0,17.0
44,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21,2001,12.0,578.0,487.0,89.0,5.0,0.0,2.0,21,81.0,3.0,1.0,2.0,0.0,470.0,2.0,18.0
45,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21,2000,18.4,817.0,715.0,100.0,24.0,1.0,6.0,4,67.0,0.0,0.0,0.0,0.0,646.0,2.0,13.0
46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24,1998,8.5,345.0,293.0,51.0,7.0,0.0,4.0,6,44.0,0.0,0.0,0.0,0.0,259.0,1.0,8.0
95,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,28,1994,22.1,670.0,640.0,24.0,2.0,4.0,8.0,4,2.0,0.0,0.0,0.0,0.0,421.0,6.0,12.0
49,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27,1995,25.4,2056.0,1999.0,55.0,28.0,0.0,8.0,6,27.0,0.0,0.0,0.0,0.0,1912.0,2.0,8.0
50,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,1995,20.8,1813.0,1685.0,126.0,35.0,1.0,6.0,15,91.0,0.0,0.0,0.0,0.0,1639.0,2.0,26.0
51,Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,25.5,1061.0,824.0,230.0,25.0,3.0,13.0,70,205.0,0.0,0.0,0.0,0.0,821.0,7.0,20.0
52,Babatunde Akinsola,ng NGA,DL,Valladolid,es La Liga,19,2003,0.1,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
53,Maghnes Akliouche,fr FRA,"CC,DL",Monaco,fr Ligue 1,20,2002,4.5,168.0,161.0,5.0,1.0,0.0,0.0,10,3.0,1.0,1.0,0.0,0.0,130.0,2.0,6.0
54,Paul Akouokou,ci CIV,"CC,DF",Betis,es La Liga,24,1997,5.0,174.0,168.0,4.0,2.0,1.0,2.0,0,2.0,0.0,0.0,0.0,0.0,160.0,2.0,3.0
55,Jean-Daniel Akpa-Akpro,ci CIV,"CC,DL",Empoli,it Serie A,29,1992,15.1,406.0,396.0,9.0,7.0,1.0,3.0,11,2.0,0.0,0.0,0.0,0.0,302.0,1.0,20.0
56,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27,1995,21.7,1024.0,966.0,56.0,30.0,1.0,14.0,8,26.0,0.0,0.0,0.0,0.0,814.0,2.0,18.0
57,David Alaba,at AUT,DF,Real Madrid,es La Liga,30,1992,20.4,1189.0,1082.0,98.0,45.0,4.0,3.0,26,46.0,3.0,3.0,0.0,0.0,1042.0,9.0,11.0
58,Ángel Alarcón,es ESP,DL,Barcelona,es La Liga,18,2004,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Tomás Alarcón,cl CHI,CC,Cádiz,es La Liga,23,1999,2.5,95.0,88.0,7.0,5.0,1.0,3.0,6,0.0,2.0,1.0,1.0,0.0,78.0,0.0,0.0
60,Lucas Alario,ar ARG,"DL,CC",Eint Frankfurt,de Bundesliga,29,1992,3.7,85.0,80.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,1.0
61,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33,1989,15.8,1460.0,1277.0,178.0,40.0,4.0,8.0,91,137.0,1.0,0.0,0.0,0.0,1217.0,5.0,24.0
62,Luis Alberto,es ESP,CC,Lazio,it Serie A,29,1992,27.1,1988.0,1732.0,246.0,81.0,14.0,7.0,147,7.0,117.0,55.0,49.0,0.0,1640.0,10.0,30.0
63,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,36,1985,23.5,1472.0,1428.0,42.0,34.0,0.0,15.0,1,0.0,0.0,0.0,0.0,0.0,1303.0,2.0,7.0
64,Marc Albrighton,eng ENG,"DL,CC",Leicester City,eng Premier League,32,1989,2.6,148.0,130.0,17.0,1.0,1.0,0.0,28,7.0,7.0,1.0,3.0,2.0,89.0,1.0,10.0
65,Thiago Alcántara,es ESP,CC,Liverpool,eng Premier League,31,1991,13.9,1097.0,1063.0,31.0,23.0,8.0,15.0,3,6.0,0.0,0.0,0.0,0.0,946.0,3.0,22.0
66,Carlos Alcaraz,ar ARG,"CC,DL",Southampton,eng Premier League,19,2002,11.4,290.0,279.0,9.0,1.0,2.0,4.0,4,1.0,0.0,0.0,0.0,0.0,222.0,2.0,10.0
67,Rubén Alcaraz,es ESP,CC,Cádiz,es La Liga,31,1991,22.7,1046.0,978.0,63.0,44.0,6.0,27.0,44,0.0,15.0,9.0,2.0,2.0,827.0,5.0,17.0
68,Omar Alderete,py PAR,DF,Getafe,es La Liga,25,1996,22.7,877.0,826.0,37.0,30.0,1.0,25.0,7,7.0,0.0,0.0,0.0,0.0,509.0,14.0,13.0
