RL2018-2019,Jugador2018-2019,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,90 s2018-2019,ACT2018-2019,SCA902018-2019,PassLive2018-2019,PassDead2018-2019,HASTA2018-2019,Dis2018-2019,FR2018-2019,Def2018-2019,ACG2018-2019,GCA902018-2019,PassLive.12018-2019,PassDead.12018-2019,HASTA.12018-2019,Dis.12018-2019,FR.12018-2019,Def.12018-2019
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,3,1.32,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,86,2.42,67,8,2,7,2,0,6,0.17,4,1,0,1,0,0
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,23,1.59,23,0,0,0,0,0,1,0.07,1,0,0,0,0,0
4,Issah Abbas,gh GHA,DL,Mainz 05,de Bundesliga,19,1998,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,25,0.66,17,1,3,4,0,0,2,0.05,2,0,0,0,0,0
6,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,25,1992,22.5,41,1.82,30,4,4,1,1,1,2,0.09,2,0,0,0,0,0
7,Charles Abi,fr FRA,"DF,DL",Saint-Étienne,fr Ligue 1,18,2000,0.4,2,5.63,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,12,0.76,9,0,1,1,1,0,1,0.06,0,0,0,1,0,0
9,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,28,1990,8.8,8,0.91,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,31,0.84,27,0,0,1,3,0,2,0.05,1,0,0,1,0,0
11,Afriyie Acquah,gh GHA,CC,Empoli,it Serie A,26,1992,16.8,44,2.62,34,0,4,4,2,0,1,0.06,1,0,0,0,0,0
12,Tyler Adams,us USA,CC,RB Leipzig,de Bundesliga,19,1999,8.0,12,1.5,10,0,1,0,1,0,3,0.37,3,0,0,0,0,0
13,Antonio Adán,es ESP,PO,Atlético Madrid,es La Liga,31,1987,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
14,Aday,es ESP,"DF,CC",Girona,es La Liga,30,1987,7.2,28,3.91,18,6,1,2,1,0,2,0.28,2,0,0,0,0,0
15,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,11,0.5,8,0,0,1,2,0,0,0.0,0,0,0,0,0,0
16,Claud Adjapong,it ITA,"CC,DL",Sassuolo,it Serie A,20,1998,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
17,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,18,2000,2.4,10,4.17,9,0,1,0,0,0,0,0.0,0,0,0,0,0,0
18,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,it Serie A,24,1993,1.8,8,4.34,4,2,1,1,0,0,0,0.0,0,0,0,0,0,0
19,Aritz Aduriz,es ESP,DL,Athletic Club,es La Liga,37,1981,10.5,19,1.81,14,0,0,3,2,0,1,0.1,1,0,0,0,0,0
20,Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,50,1.88,33,4,5,1,7,0,11,0.41,6,0,2,0,3,0
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,22,0.97,21,0,1,0,0,0,1,0.04,1,0,0,0,0,0
22,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,8,0.69,5,1,1,0,1,0,0,0.0,0,0,0,0,0,0
23,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,30,1988,27.3,91,3.33,60,1,11,10,7,2,19,0.7,14,0,2,2,1,0
24,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,25,1993,28.1,103,3.67,80,8,6,2,7,0,7,0.25,6,0,0,1,0,0
25,Juan Aguilera,es ESP,CC,Huesca,es La Liga,32,1985,3.8,6,1.57,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
26,Emmanuel Agyemang-Badu,gh GHA,CC,Udinese,it Serie A,27,1990,1.8,2,1.12,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
27,Jean-Eudes Aholou,ci CIV,CC,Monaco,fr Ligue 1,24,1994,11.9,28,2.34,20,0,3,3,1,1,3,0.25,2,0,0,1,0,0
28,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,1,1.13,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0
29,Ola Aina,ng NGA,DF,Torino,it Serie A,21,1996,24.0,57,2.37,37,6,7,1,4,2,5,0.21,3,1,0,0,1,0
61,Youssef Aït Bennasser,ma MAR,CC,Saint-Étienne,fr Ligue 1,22,1996,22.3,47,4.1899999999999995,44,0,2,0,0,1,5,0.42,4,0,1,0,0,0
32,Rayan Aït Nouri,dz ALG,"DF,CC",Angers,fr Ligue 1,17,2001,0.6,2,3.16,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
33,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,24,1994,17.0,35,2.06,22,1,1,3,6,2,4,0.24,3,0,0,1,0,0
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,18,0.73,14,0,1,0,2,1,4,0.16,2,0,0,0,1,1
35,Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,17,1.51,11,2,2,1,1,0,2,0.18,1,0,0,0,1,0
36,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,24,0.63,19,0,0,4,1,0,1,0.03,0,0,0,0,1,0
37,Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,1,0.5,1,0,0,0,0,0,1,0.5,1,0,0,0,0,0
38,Chadrac Akolo,cd COD,"CC,DL",Stuttgart,de Bundesliga,23,1995,5.8,21,3.6,15,0,3,2,1,0,1,0.17,1,0,0,0,0,0
79,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,9.0,11,2.41,10,0,0,0,1,0,2,0.36,1,0,0,0,1,0
41,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,84,2.99,64,4,4,10,2,0,9,0.32,7,1,1,0,0,0
42,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,20,1998,21.1,56,2.66,37,6,7,0,6,0,5,0.24,4,0,0,0,1,0
43,Lucas Alario,ar ARG,"DL,CC",Leverkusen,de Bundesliga,25,1992,14.1,31,2.21,29,0,0,1,1,0,4,0.28,4,0,0,0,0,0
44,Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,84,2.53,76,3,1,0,3,1,13,0.39,12,0,0,0,1,0
45,Luis Alberto,es ESP,"CC,DL",Lazio,it Serie A,25,1992,22.1,154,6.97,103,34,4,10,2,1,10,0.45,4,4,0,2,0,0
46,Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19.0,20,1.05,20,0,0,0,0,0,2,0.11,2,0,0,0,0,0
47,Miiko Albornoz,cl CHI,"DF,CC",Hannover 96,de Bundesliga,27,1990,18.4,37,2.01,27,5,2,2,0,1,4,0.22,4,0,0,0,0,0
48,Marc Albrighton,eng ENG,"DL,CC",Leicester City,eng Premier League,28,1989,18.1,47,2.6,37,4,3,3,0,0,4,0.22,4,0,0,0,0,0
49,Paco Alcácer,es ESP,DL,Dortmund,de Bundesliga,24,1993,13.5,40,2.97,29,0,2,5,2,2,7,0.52,4,0,0,1,1,1
50,Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,1989,20.8,14,0.67,10,0,0,3,1,0,1,0.05,1,0,0,0,0,0
51,Thiago Alcántara,es ESP,CC,Bayern Munich,de Bundesliga,27,1991,26.8,98,3.66,71,16,4,1,4,2,9,0.34,7,2,0,0,0,0
52,Rubén Alcaraz,es ESP,CC,Valladolid,es La Liga,27,1991,33.1,62,1.87,43,4,3,3,8,1,5,0.15,3,0,1,0,1,0
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,34,1.05,29,0,1,4,0,0,2,0.06,2,0,0,0,0,0
54,Álex Alegría,es ESP,"DL,CC",Rayo Vallecano,es La Liga,25,1992,1.6,4,2.57,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0
55,Alexis Alegue,fr FRA,DL,Nantes,fr Ligue 1,21,1996,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
56,Iván Alejo,es ESP,CC,Getafe,es La Liga,23,1995,1.6,1,0.62,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
57,Carles Aleñá,es ESP,CC,Barcelona,es La Liga,20,1998,7.1,27,3.82,25,0,0,1,1,0,5,0.71,4,0,0,1,0,0
58,Rúnar Alex Rúnarsson,is ISL,PO,Dijon,fr Ligue 1,23,1995,25.0,5,0.2,3,2,0,0,0,0,0,0.0,0,0,0,0,0,0
59,Alexander,ar ARG,DL,Leganés,es La Liga,29,1988,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
60,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,96,3.51,62,24,6,2,1,1,18,0.66,13,5,0,0,0,0
61,Rachid Alioui,ma MAR,DL,Nîmes,fr Ligue 1,26,1992,13.9,41,2.95,29,1,2,7,1,1,1,0.07,1,0,0,0,0,0
62,Alisson,br BRA,PO,Liverpool,eng Premier League,25,1992,38.0,4,0.11,1,3,0,0,0,0,1,0.03,0,1,0,0,0,0
63,Bobby Allain,fr FRA,PO,Dijon,fr Ligue 1,26,1991,13.0,2,0.15,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
