club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Borussia Dortmund,Angeliño,24,Spain,Left-Back,LB,35000000.0,Man City,England,18000000.0,in,summer,1 Bundesliga,2021,False,
Borussia Dortmund,Ilaix Moriba,18,Guinea,Central Midfield,CM,25000000.0,Barcelona B,Spain,16000000.0,in,summer,1 Bundesliga,2021,False,
Borussia Dortmund,Mohamed Simakan,21,France,Centre-Back,CB,18000000.0,R. Strasbourg,France,15000000.0,in,summer,1 Bundesliga,2021,False,
Borussia Dortmund,Benjamin Henrichs,24,Germany,Right-Back,RB,9000000.0,Monaco,France,15000000.0,in,summer,1 Bundesliga,2021,False,
Borussia Dortmund,Caden Clark,18,United States,Attacking Midfield,AM,3000000.0,Red Bulls,United States,1820000.0,in,summer,1 Bundesliga,2021,False,
Borussia Dortmund,Brian Brobbey,19,Netherlands,Centre-Forward,CF,7500000.0,Ajax U21,Netherlands,0.0,in,summer,1 Bundesliga,2021,False,
Borussia Dortmund,Dayot Upamecano,22,France,Centre-Back,CB,60000000.0,FC Bayern,Germany,42500000.0,out,summer,1 Bundesliga,2021,False,
Borussia Dortmund,Ibrahima Konaté,22,France,Centre-Back,CB,35000000.0,Liverpool,England,40000000.0,out,summer,1 Bundesliga,2021,False,
Borussia Dortmund,Marcel Sabitzer,27,Austria,Central Midfield,CM,32000000.0,FC Bayern,Germany,15000000.0,out,summer,1 Bundesliga,2021,False,
Borussia Dortmund,Hannes Wolf,22,Austria,Attacking Midfield,AM,8000000.0,Bor. M'gladbach,Germany,9500000.0,out,summer,1 Bundesliga,2021,False,
Borussia Dortmund,Lazar Samardzic,19,Germany,Attacking Midfield,AM,3000000.0,Udinese Calcio,Italy,3000000.0,out,summer,1 Bundesliga,2021,False,
Borussia Dortmund,Alexander Sörloth,25,Norway,Centre-Forward,CF,16000000.0,Real Sociedad,Spain,2000000.0,out,summer,1 Bundesliga,2021,True,loan with fee
Borussia Dortmund,Ademola Lookman,23,England,Left Winger,LW,11000000.0,Leicester,England,0.0,out,summer,1 Bundesliga,2021,True,free loan
Borussia Dortmund,Hee-chan Hwang,25,"Korea, South",Centre-Forward,CF,11000000.0,Wolves,England,0.0,out,summer,1 Bundesliga,2021,True,free loan
Borussia Dortmund,Caden Clark,18,United States,Attacking Midfield,AM,3000000.0,Red Bulls,United States,0.0,out,summer,1 Bundesliga,2021,True,free loan
Borussia Dortmund,Fabrice Hartmann,20,Germany,Right Winger,RW,350000.0,SC Paderborn,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
Borussia Dortmund,Justin Kluivert,22,Netherlands,Left Winger,LW,14000000.0,AS Roma,Italy,0.0,out,summer,1 Bundesliga,2021,True,end of loan
Borussia Dortmund,Angeliño,24,Spain,Left-Back,LB,35000000.0,Man City,England,0.0,out,summer,1 Bundesliga,2021,True,end of loan
Borussia Dortmund,Benjamin Henrichs,24,Germany,Right-Back,RB,9000000.0,Monaco,France,0.0,out,summer,1 Bundesliga,2021,True,end of loan
VfL Wolfsburg,Donyell Malen,22,Netherlands,Centre-Forward,CF,30000000.0,PSV Eindhoven,Netherlands,30000000.0,in,summer,1 Bundesliga,2021,False,
VfL Wolfsburg,Gregor Kobel,23,Switzerland,Goalkeeper,GK,18000000.0,VfB Stuttgart,Germany,15000000.0,in,summer,1 Bundesliga,2021,False,
VfL Wolfsburg,Soumaïla Coulibaly,17,France,Centre-Back,CB,750000.0,Paris SG U19,France,0.0,in,summer,1 Bundesliga,2021,False,
VfL Wolfsburg,Abdoulaye Kamara,16,Guinea,Defensive Midfield,DM,1000000.0,Paris SG U19,France,0.0,in,summer,1 Bundesliga,2021,False,
VfL Wolfsburg,Marin Pongracic,23,Croatia,Centre-Back,CB,8500000.0,VfL Wolfsburg,Germany,0.0,in,summer,1 Bundesliga,2021,True,free loan
VfL Wolfsburg,Jadon Sancho,21,England,Left Winger,LW,90000000.0,Man Utd,England,85000000.0,out,summer,1 Bundesliga,2021,False,
VfL Wolfsburg,Leonardo Balerdi,22,Argentina,Centre-Back,CB,10000000.0,Marseille,France,11000000.0,out,summer,1 Bundesliga,2021,False,
VfL Wolfsburg,Thomas Delaney,29,Denmark,Defensive Midfield,DM,9000000.0,Sevilla FC,Spain,6000000.0,out,summer,1 Bundesliga,2021,False,
VfL Wolfsburg,Jeremy Toljan,26,Germany,Right-Back,RB,5000000.0,Sassuolo,Italy,3500000.0,out,summer,1 Bundesliga,2021,False,
VfL Wolfsburg,Sergio Gómez,20,Spain,Left-Back,LB,3000000.0,RSC Anderlecht,Belgium,2250000.0,out,summer,1 Bundesliga,2021,False,
VfL Wolfsburg,Lukasz Piszczek,36,Poland,Right-Back,RB,,Goczalkowice,Poland,0.0,out,summer,1 Bundesliga,2021,False,
Eintracht Frankfurt,Sebastiaan Bornauw,22,Belgium,Centre-Back,CB,14000000.0,1. FC Köln,Germany,13500000.0,in,summer,1 Bundesliga,2021,False,
Eintracht Frankfurt,Luca Waldschmidt,25,Germany,Second Striker,SS,12000000.0,Benfica,Portugal,12000000.0,in,summer,1 Bundesliga,2021,False,
Eintracht Frankfurt,Aster Vranckx,18,Belgium,Central Midfield,CM,6800000.0,KV Mechelen,Belgium,8000000.0,in,summer,1 Bundesliga,2021,False,
Eintracht Frankfurt,Lukas Nmecha,22,Germany,Centre-Forward,CF,12000000.0,Man City,England,8000000.0,in,summer,1 Bundesliga,2021,False,
Eintracht Frankfurt,Maximilian Philipp,27,Germany,Second Striker,SS,7000000.0,Dynamo Moscow,Russia,7500000.0,in,summer,1 Bundesliga,2021,False,
Eintracht Frankfurt,Micky van de Ven,20,Netherlands,Centre-Back,CB,3000000.0,FC Volendam,Netherlands,3500000.0,in,summer,1 Bundesliga,2021,False,
Eintracht Frankfurt,Felix Nmecha,20,England,Attacking Midfield,AM,450000.0,Man City U23,England,0.0,in,summer,1 Bundesliga,2021,False,
Eintracht Frankfurt,Yun-sang Hong,19,"Korea, South",Left Winger,LW,50000.0,Pohang Steelers,"Korea, South",,in,summer,1 Bundesliga,2021,False,
Eintracht Frankfurt,Dodi Lukébakio,23,Belgium,Right Winger,RW,13000000.0,Hertha BSC,Germany,0.0,in,summer,1 Bundesliga,2021,True,free loan
Eintracht Frankfurt,Felix Klaus,28,Germany,Right Winger,RW,1500000.0,F. Düsseldorf,Germany,1100000.0,out,summer,1 Bundesliga,2021,False,
Eintracht Frankfurt,Josip Brekalo,23,Croatia,Left Winger,LW,12000000.0,Torino,Italy,1000000.0,out,summer,1 Bundesliga,2021,True,loan with fee
Eintracht Frankfurt,Tim Siersleben,21,Germany,Centre-Back,CB,250000.0,1.FC Heidenheim,Germany,150000.0,out,summer,1 Bundesliga,2021,True,loan with fee
Eintracht Frankfurt,Marcel Beifus,18,Germany,Centre-Back,CB,100000.0,FC St. Pauli,Germany,100000.0,out,summer,1 Bundesliga,2021,False,
Eintracht Frankfurt,Jeffrey Bruma,29,Netherlands,Centre-Back,CB,1000000.0,Kasimpasa,Turkey,0.0,out,summer,1 Bundesliga,2021,False,
Eintracht Frankfurt,Ulysses Llanez,20,United States,Left Winger,LW,200000.0,SKN St. Pölten,Austria,0.0,out,summer,1 Bundesliga,2021,True,free loan
Eintracht Frankfurt,Lino Kasten,20,Germany,Goalkeeper,GK,100000.0,SKN St. Pölten,Austria,0.0,out,summer,1 Bundesliga,2021,True,free loan
Eintracht Frankfurt,Marin Pongracic,23,Croatia,Centre-Back,CB,8500000.0,Bor. Dortmund,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
Eintracht Frankfurt,João Victor,27,Brazil,Left Winger,LW,3000000.0,Al-Jazira,United Arab Emirates,,out,summer,1 Bundesliga,2021,False,
Eintracht Frankfurt,Yun-sang Hong,19,"Korea, South",Left Winger,LW,50000.0,SKN St. Pölten,Austria,0.0,out,summer,1 Bundesliga,2021,True,free loan
Eintracht Frankfurt,Bryang Kayo,19,United States,Central Midfield,CM,150000.0,Viktoria Berlin,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
Eintracht Frankfurt,Elvis Rexhbecaj,23,Germany,Central Midfield,CM,4000000.0,VfL Bochum,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
Eintracht Frankfurt,Omar Marmoush,22,Egypt,Centre-Forward,CF,4000000.0,VfB Stuttgart,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
Eintracht Frankfurt,Dominik Marx,21,Germany,Central Midfield,CM,,Without Club,,,out,summer,1 Bundesliga,2021,False,
Eintracht Frankfurt,Maximilian Philipp,27,Germany,Second Striker,SS,7000000.0,Dynamo Moscow,Russia,0.0,out,summer,1 Bundesliga,2021,True,end of loan
Bayer 04 Leverkusen,Jesper Lindström,21,Denmark,Attacking Midfield,AM,7000000.0,Bröndby IF,Denmark,7000000.0,in,summer,1 Bundesliga,2021,False,
Bayer 04 Leverkusen,Igor Matanovic,18,Germany,Centre-Forward,CF,500000.0,FC St. Pauli,Germany,500000.0,in,summer,1 Bundesliga,2021,False,
Bayer 04 Leverkusen,Jens Grahl,32,Germany,Goalkeeper,GK,200000.0,VfB Stuttgart,Germany,250000.0,in,summer,1 Bundesliga,2021,False,
Bayer 04 Leverkusen,Diant Ramaj,19,Germany,Goalkeeper,GK,250000.0,1.FC Heidenheim,Germany,100000.0,in,summer,1 Bundesliga,2021,False,
Bayer 04 Leverkusen,Rafael Borré,25,Colombia,Centre-Forward,CF,17000000.0,River Plate,Argentina,0.0,in,summer,1 Bundesliga,2021,False,
Bayer 04 Leverkusen,Fabio Blanco,17,Spain,Right Winger,RW,750000.0,Valencia U19,Spain,0.0,in,summer,1 Bundesliga,2021,False,
Bayer 04 Leverkusen,Christopher Lenz,26,Germany,Left-Back,LB,5000000.0,Union Berlin,Germany,0.0,in,summer,1 Bundesliga,2021,False,
Bayer 04 Leverkusen,Enrique Herrero García,16,Spain,Centre-Forward,CF,300000.0,Villarreal Yth.,Spain,,in,summer,1 Bundesliga,2021,False,
Bayer 04 Leverkusen,Kristijan Jakic,24,Croatia,Defensive Midfield,DM,4000000.0,Dinamo Zagreb,Croatia,0.0,in,summer,1 Bundesliga,2021,True,free loan
Bayer 04 Leverkusen,Sam Lammers,24,Netherlands,Centre-Forward,CF,6000000.0,Atalanta BC,Italy,0.0,in,summer,1 Bundesliga,2021,True,free loan
Bayer 04 Leverkusen,Jens Petter Hauge,21,Norway,Left Winger,LW,9500000.0,AC Milan,Italy,0.0,in,summer,1 Bundesliga,2021,True,free loan
Bayer 04 Leverkusen,André Silva,25,Portugal,Centre-Forward,CF,40000000.0,RB Leipzig,Germany,23000000.0,out,summer,1 Bundesliga,2021,False,
Bayer 04 Leverkusen,Dejan Joveljic,21,Serbia,Centre-Forward,CF,4000000.0,LA Galaxy,United States,3500000.0,out,summer,1 Bundesliga,2021,False,
Bayer 04 Leverkusen,Frederik Rönnow,28,Denmark,Goalkeeper,GK,2000000.0,Union Berlin,Germany,1000000.0,out,summer,1 Bundesliga,2021,False,
Bayer 04 Leverkusen,Jetro Willems,27,Netherlands,Left-Back,LB,2000000.0,Greuther Fürth,Germany,0.0,out,summer,1 Bundesliga,2021,False,
Bayer 04 Leverkusen,Jabez Makanda,20,Angola,Centre-Forward,CF,100000.0,FK Pirmasens,Germany,0.0,out,summer,1 Bundesliga,2021,False,
Bayer 04 Leverkusen,Yannick Brugger,20,Germany,Centre-Back,CB,200000.0,Admira Wacker,Austria,0.0,out,summer,1 Bundesliga,2021,False,
Bayer 04 Leverkusen,Igor Matanovic,18,Germany,Centre-Forward,CF,500000.0,FC St. Pauli,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
Bayer 04 Leverkusen,Felix Irorere,19,Germany,Centre-Back,CB,200000.0,Karlsruher SC,Germany,,out,summer,1 Bundesliga,2021,False,
Bayer 04 Leverkusen,Nils Stendera,20,Germany,Central Midfield,CM,100000.0,Hessen Kassel,Germany,,out,summer,1 Bundesliga,2021,False,
Bayer 04 Leverkusen,Steven Zuber,30,Switzerland,Left Midfield,LM,3500000.0,AEK Athens,Greece,0.0,out,summer,1 Bundesliga,2021,True,free loan
Bayer 04 Leverkusen,Rodrigo Zalazar,21,Uruguay,Central Midfield,CM,2500000.0,FC Schalke 04,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
Bayer 04 Leverkusen,Fynn Otto,19,Germany,Centre-Back,CB,200000.0,Hallescher FC,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
Bayer 04 Leverkusen,Ali Akman,19,Turkey,Centre-Forward,CF,1500000.0,NEC Nijmegen,Netherlands,0.0,out,summer,1 Bundesliga,2021,True,free loan
Bayer 04 Leverkusen,Lukas Fahrnberger,20,Austria,Defensive Midfield,DM,200000.0,Without Club,,,out,summer,1 Bundesliga,2021,False,
Bayer 04 Leverkusen,Elias Bördner,19,Germany,Goalkeeper,GK,250000.0,Viktoria Köln,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
Bayer 04 Leverkusen,Markus Schubert,23,Germany,Goalkeeper,GK,1400000.0,FC Schalke 04,Germany,0.0,out,summer,1 Bundesliga,2021,True,end of loan
Bayer 04 Leverkusen,Luka Jovic,23,Serbia,Centre-Forward,CF,20000000.0,Real Madrid,Spain,0.0,out,summer,1 Bundesliga,2021,True,end of loan
1.FC Union Berlin,Odilon Kossounou,20,Cote d'Ivoire,Centre-Back,CB,23000000.0,Club Brugge,Belgium,23000000.0,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Amine Adli,21,France,Right Winger,RW,9000000.0,Toulouse,France,7500000.0,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Mitchel Bakker,21,Netherlands,Left-Back,LB,10000000.0,Paris SG,France,7000000.0,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Robert Andrich,26,Germany,Central Midfield,CM,7000000.0,Union Berlin,Germany,6500000.0,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Piero Hincapié,19,Ecuador,Centre-Back,CB,8000000.0,CA Talleres,Argentina,6350000.0,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Zidan Sertdemir,16,Denmark,Central Midfield,CM,2000000.0,Nordsjaell. U19,Denmark,2500000.0,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Andrey Lunev,29,Russia,Goalkeeper,GK,5000000.0,Zenit S-Pb,Russia,0.0,in,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Leon Bailey,23,Jamaica,Left Winger,LW,35000000.0,Aston Villa,England,32000000.0,out,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Wendell,28,Brazil,Left-Back,LB,6500000.0,FC Porto,Portugal,4000000.0,out,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Tin Jedvaj,25,Croatia,Centre-Back,CB,3000000.0,Loko Moscow,Russia,4000000.0,out,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Demarai Gray,25,England,Left Winger,LW,15000000.0,Everton,England,2000000.0,out,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Lars Bender,32,Germany,Defensive Midfield,DM,,TSV Brannenburg,Germany,0.0,out,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Aleksandar Dragovic,30,Austria,Centre-Back,CB,3500000.0,Red Star,Serbia,0.0,out,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Sven Bender,32,Germany,Defensive Midfield,DM,,TSV Brannenburg,Germany,0.0,out,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Cem Türkmen,19,Turkey,Central Midfield,CM,400000.0,Clermont Foot,France,0.0,out,summer,1 Bundesliga,2021,False,
1.FC Union Berlin,Yannik Schlößer,19,Germany,Right Winger,RW,100000.0,Nuremberg II,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
1.FC Union Berlin,Mitchell Weiser,27,Germany,Right-Back,RB,2000000.0,Werder Bremen,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
1.FC Union Berlin,Lennart Grill,22,Germany,Goalkeeper,GK,1500000.0,Brann,Norway,0.0,out,summer,1 Bundesliga,2021,True,free loan
1.FC Union Berlin,Joel Pohjanpalo,26,Finland,Centre-Forward,CF,2300000.0,C. Rizespor,Turkey,0.0,out,summer,1 Bundesliga,2021,True,free loan
1.FC Union Berlin,Santiago Arias,29,Colombia,Right-Back,RB,5000000.0,Atlético Madrid,Spain,0.0,out,summer,1 Bundesliga,2021,True,end of loan
Borussia Mönchengladbach,Taiwo Awoniyi,23,Nigeria,Centre-Forward,CF,8000000.0,Liverpool,England,6500000.0,in,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Tymoteusz Puchacz,22,Poland,Left-Back,LB,3500000.0,Lech Poznan,Poland,2500000.0,in,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Leon Dajaku,20,Germany,Second Striker,SS,1800000.0,FC Bayern II,Germany,1000000.0,in,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Kevin Möhwald,28,Germany,Central Midfield,CM,2000000.0,Werder Bremen,Germany,1000000.0,in,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Frederik Rönnow,28,Denmark,Goalkeeper,GK,2000000.0,E. Frankfurt,Germany,1000000.0,in,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Keita Endo,23,Japan,Left Winger,LW,1300000.0,Yokohama F. M.,Japan,900000.0,in,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Rick van Drongelen,22,Netherlands,Centre-Back,CB,1500000.0,Hamburger SV,Germany,500000.0,in,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Julius Kade,22,Germany,Central Midfield,CM,450000.0,Dynamo Dresden,Germany,500000.0,in,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Levin Öztunali,25,Germany,Central Midfield,CM,2500000.0,1.FSV Mainz 05,Germany,0.0,in,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Bastian Oczipka,32,Germany,Left-Back,LB,600000.0,FC Schalke 04,Germany,0.0,in,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Genki Haraguchi,30,Japan,Attacking Midfield,AM,2500000.0,Hannover 96,Germany,0.0,in,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Pawel Wszolek,29,Poland,Right Winger,RW,2000000.0,Legia Warszawa,Poland,0.0,in,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Andreas Voglsammer,29,Germany,Centre-Forward,CF,1700000.0,Arm. Bielefeld,Germany,0.0,in,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Paul Jaeckel,22,Germany,Centre-Back,CB,2000000.0,Greuther Fürth,Germany,0.0,in,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Rani Khedira,27,Germany,Defensive Midfield,DM,5000000.0,FC Augsburg,Germany,0.0,in,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Kevin Behrens,30,Germany,Centre-Forward,CF,900000.0,SV Sandhausen,Germany,0.0,in,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Timo Baumgartl,25,Germany,Centre-Back,CB,3000000.0,PSV Eindhoven,Netherlands,0.0,in,summer,1 Bundesliga,2021,True,free loan
Borussia Mönchengladbach,Robert Andrich,26,Germany,Central Midfield,CM,7000000.0,Bay. Leverkusen,Germany,6500000.0,out,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Marius Bülter,28,Germany,Second Striker,SS,1700000.0,FC Schalke 04,Germany,800000.0,out,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Marcus Ingvartsen,25,Denmark,Attacking Midfield,AM,3500000.0,1.FSV Mainz 05,Germany,600000.0,out,summer,1 Bundesliga,2021,True,loan with fee
Borussia Mönchengladbach,Julius Kade,22,Germany,Central Midfield,CM,450000.0,Dynamo Dresden,Germany,500000.0,out,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Sebastian Griesbeck,30,Germany,Defensive Midfield,DM,1000000.0,Greuther Fürth,Germany,250000.0,out,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Nicolai Rapp,24,Germany,Central Midfield,CM,700000.0,Werder Bremen,Germany,200000.0,out,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Florian Hübner,30,Germany,Centre-Back,CB,800000.0,1.FC Nuremberg,Germany,0.0,out,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Akaki Gogia,29,Germany,Right Winger,RW,650000.0,FC Zürich,Switzerland,0.0,out,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Christian Gentner,35,Germany,Central Midfield,CM,250000.0,FC Luzern,Switzerland,0.0,out,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Nikolai Kemlein,19,Germany,Goalkeeper,GK,75000.0,Hertha BSC II,Germany,0.0,out,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Christopher Lenz,26,Germany,Left-Back,LB,5000000.0,E. Frankfurt,Germany,0.0,out,summer,1 Bundesliga,2021,False,
Borussia Mönchengladbach,Leon Dajaku,20,Germany,Second Striker,SS,1800000.0,Sunderland,England,0.0,out,summer,1 Bundesliga,2021,True,free loan
Borussia Mönchengladbach,Petar Musa,23,Croatia,Centre-Forward,CF,2000000.0,Slavia Prague,Czech Republic,0.0,out,summer,1 Bundesliga,2021,True,end of loan
Borussia Mönchengladbach,Leon Dajaku,20,Germany,Second Striker,SS,1800000.0,FC Bayern II,Germany,0.0,out,summer,1 Bundesliga,2021,True,end of loan
Borussia Mönchengladbach,Joel Pohjanpalo,26,Finland,Centre-Forward,CF,2300000.0,Bay. Leverkusen,Germany,0.0,out,summer,1 Bundesliga,2021,True,end of loan
Borussia Mönchengladbach,Loris Karius,28,Germany,Goalkeeper,GK,2000000.0,Liverpool,England,0.0,out,summer,1 Bundesliga,2021,True,end of loan
Borussia Mönchengladbach,Taiwo Awoniyi,23,Nigeria,Centre-Forward,CF,8000000.0,Liverpool,England,0.0,out,summer,1 Bundesliga,2021,True,end of loan
Borussia Mönchengladbach,Nico Schlotterbeck,21,Germany,Centre-Back,CB,13000000.0,SC Freiburg,Germany,0.0,out,summer,1 Bundesliga,2021,True,end of loan
Borussia Mönchengladbach,Keita Endo,23,Japan,Left Winger,LW,1300000.0,Yokohama F. M.,Japan,0.0,out,summer,1 Bundesliga,2021,True,end of loan
VfB Stuttgart,Hannes Wolf,22,Austria,Attacking Midfield,AM,8000000.0,RB Leipzig,Germany,9500000.0,in,summer,1 Bundesliga,2021,False,
VfB Stuttgart,Luca Netz,18,Germany,Left-Back,LB,5000000.0,Hertha BSC,Germany,2000000.0,in,summer,1 Bundesliga,2021,False,
VfB Stuttgart,Andreas Poulsen,21,Denmark,Left-Back,LB,800000.0,FC Ingolstadt,Germany,100000.0,out,summer,1 Bundesliga,2021,True,loan with fee
VfB Stuttgart,Oscar Wendt,35,Sweden,Left-Back,LB,600000.0,IFK Göteborg,Sweden,0.0,out,summer,1 Bundesliga,2021,False,
VfB Stuttgart,Max Grün,34,Germany,Goalkeeper,GK,125000.0,Aschaffenburg,Germany,0.0,out,summer,1 Bundesliga,2021,False,
VfB Stuttgart,Julio Villalba,22,Paraguay,Centre-Forward,CF,350000.0,Guayaquil City,Ecuador,0.0,out,summer,1 Bundesliga,2021,False,
VfB Stuttgart,Michael Lang,30,Switzerland,Right-Back,RB,800000.0,FC Basel,Switzerland,,out,summer,1 Bundesliga,2021,False,
VfB Stuttgart,Moritz Nicolas,23,Germany,Goalkeeper,GK,250000.0,Viktoria Köln,Germany,0.0,out,summer,1 Bundesliga,2021,True,free loan
VfB Stuttgart,Rocco Reitz,19,Germany,Central Midfield,CM,500000.0,Sint-Truiden,Belgium,0.0,out,summer,1 Bundesliga,2021,True,free loan
VfB Stuttgart,Famana Quizera,19,Portugal,Left Winger,LW,200000.0,Académico Viseu,Portugal,0.0,out,summer,1 Bundesliga,2021,True,free loan
VfB Stuttgart,Ibrahima Traoré,33,Guinea,Right Winger,RW,400000.0,Without Club,,,out,summer,1 Bundesliga,2021,False,
VfB Stuttgart,Hannes Wolf,22,Austria,Attacking Midfield,AM,8000000.0,RB Leipzig,Germany,0.0,out,summer,1 Bundesliga,2021,True,end of loan
VfB Stuttgart,Valentino Lazaro,25,Austria,Right-Back,RB,10000000.0,Inter,Italy,0.0,out,summer,1 Bundesliga,2021,True,end of loan
SC Freiburg,Florian Müller,23,Germany,Goalkeeper,GK,8000000.0,1.FSV Mainz 05,Germany,5000000.0,in,summer,1 Bundesliga,2021,False,
SC Freiburg,Wahid Faghir,18,Denmark,Centre-Forward,CF,4500000.0,Vejle BK,Denmark,4500000.0,in,summer,1 Bundesliga,2021,False,
SC Freiburg,Chris Führich,23,Germany,Right Winger,RW,2500000.0,SC Paderborn,Germany,2500000.0,in,summer,1 Bundesliga,2021,False,
SC Freiburg,Enzo Millot,19,France,Central Midfield,CM,2000000.0,Monaco,France,1750000.0,in,summer,1 Bundesliga,2021,False,
SC Freiburg,Naouirou Ahamada,19,France,Defensive Midfield,DM,1800000.0,Juventus U23,Italy,1500000.0,in,summer,1 Bundesliga,2021,False,
